lr,la,T*,P*,rhol*,rhos*,dHmelting*,dUmelting*
11,6,0.9,2.6587777805548614,0.906778,0.989605,1.170994806784051,0.9254147938015488
11,6,1.0,4.081830559860036,0.927632,1.007801,1.2644209948654743,0.913968160459885
11,6,1.03,4.514041450887278,0.933067,1.013048,1.294583032497902,0.9126917545613588
12,6,0.9,2.6463430879780057,0.900238,0.989043,1.2183672775818437,0.9547679955011246
12,6,1.0,4.023711257185703,0.919555,1.005691,1.3174979855404962,0.9426775681079738
12,6,1.05,4.754602500624843,0.929566,1.013644,1.3583985729684782,0.9344169107723062
12,6,1.2,6.9837448087978,0.954531,1.036215,1.506016797598123,0.9293863259185208
12,6,1.3,8.4385917708073,0.97052,1.050317,1.6337145882610282,0.9345729067733072
13,6,1.0,3.9238221069732564,0.913449,1.002906,1.3469447771110203,0.9632380529867532
13,6,1.08,5.046260906023495,0.927337,1.014591,1.421502088166624,0.9534511497125724
13,6,1.2,6.7852056498375415,0.94597,1.031167,1.5428732878658136,0.9496752961759564
13,6,1.3,8.293030086228441,0.960807,1.044211,1.6359136746539271,0.9468359010247428
13,6,1.35,9.065175508622843,0.96767,1.050498,1.6862758246279506,0.9479734991252188
14,6,1.0,3.8582043501624597,0.90883,1.00224,1.3807124051717514,0.9844503199200192
14,6,1.11,5.358836180954761,0.92603,1.01701,1.4908633650790293,0.9734383254186452
14,6,1.2,6.63624897275681,0.939233,1.028436,1.582655709634094,0.9696778930267436
14,6,1.3,8.101609457635591,0.953077,1.040521,1.6812812981239995,0.9666412746813298
14,6,1.4,9.62215900899775,0.966526,1.052032,1.775892510930829,0.9664493551612092
15,6,1.0,3.839590309922519,0.905346,1.004301,1.4302827623974714,1.0123372631842047
15,6,1.14,5.7120593876530865,0.925366,1.021355,1.5788850142884725,0.998813604098975
15,6,1.2,6.555264986253437,0.933903,1.028272,1.6358028735027903,0.992214338915272
15,6,1.3,7.975986383404148,0.946884,1.039339,1.740138215786459,0.9898546188452896
15,6,1.46,10.331774253936517,0.965945,1.055983,1.8989361379705776,0.9875114621344668
15,6,1.84,16.31742731817046,1.006524,1.091279,2.2666070514631578,1.0069843689077729
16,6,1.0,3.7888004273931517,0.902739,1.004751,1.45406540630328,1.028019185203699
16,6,1.17,6.0262347913021745,0.925222,1.024089,1.6423733701681738,1.0134906098475387
16,6,1.2,6.4519347388152966,0.929672,1.027318,1.6702075030093666,1.010256993251688
16,6,1.3,7.847772573106724,0.941896,1.03773,1.7753162170374783,1.0056883204198948
16,6,1.51,10.904656848287928,0.965819,1.058044,1.9876083926819337,1.0037675381154707
