lr,la,rho*,T*,B*,dB*_dT*
7,6,0,1.0,-9.928438960045872,14.942596228694136
7,6,0,1.1869486583187463,-7.677453853069376,9.698002295224398
7,6,0,1.3738973166374924,-6.160682975730257,6.785280498469954
7,6,0,1.560845974956239,-5.0711817386858895,5.004042967528022
7,6,0,1.7477946332749847,-4.251917251642645,3.836851690734196
7,6,0,1.934743291593731,-3.614285911529461,3.031254103136128
7,6,0,2.1216919499124773,-3.104530523841356,2.4522647356515987
7,6,0,2.308640608231223,-2.688156325732474,2.0224271954890556
7,6,0,2.4955892665499695,-2.3420195998463464,1.6947301281006792
7,6,0,2.682537924868716,-2.050017900624721,1.4393059010491642
7,6,0,2.869486583187462,-1.8006041572509526,1.2364445046885222
7,6,0,3.0564352415062084,-1.5852841760126937,1.0727155469587473
7,6,0,3.2433838998249547,-1.3976716124450277,0.938713244462836
7,6,0,3.430332558143701,-1.2328733725549563,0.8276922764084995
7,6,0,3.617281216462447,-1.0870779456082862,0.7347139387645255
7,6,0,3.804229874781193,-0.9572727716954892,0.6560955911728937
7,6,0,3.9911785330999394,-0.8410459055815314,0.5890462694740366
7,6,0,4.178127191418685,-0.7364437260204365,0.5314198640695036
7,6,0,4.365075849737432,-0.6418672030082856,0.4815444413914668
7,6,0,4.552024508056178,-0.5559952223987114,0.4381020072653825
7,6,0,4.738973166374924,-0.4777270064424117,0.400042372459393
7,6,0,4.9259218246936705,-0.4061380045475397,0.366520501750727
7,6,0,5.112870483012417,-0.3404462029893834,0.3368503070624797
7,6,0,5.299819141331163,-0.27998576404779,0.3104701326584294
7,6,0,5.486767799649909,-0.2241862868785527,0.2869166709125613
7,6,0,5.673716457968656,-0.1725563564174654,0.26580503584709
7,6,0,5.860665116287402,-0.1246704787469189,0.2468133882363913
7,6,0,6.047613774606147,-0.08015834155009,0.2296709623528675
7,6,0,6.234562432924894,-0.0386962357698048,0.2141486611350525
7,6,0,6.42151109124364,3.2573943542502093e-13,0.2000516092500287
7,6,0,6.485726202156076,0.0126996823597567,0.1955074991120488
7,6,0,6.6727167524319295,0.0480766782585259,0.1830646943620014
7,6,0,6.859707302707783,0.0812291557856609,0.171693465744519
7,6,0,7.046697852983636,0.1123462364413725,0.1612762918836576
7,6,0,7.233688403259489,0.1415965382606448,0.151711228648828
7,6,0,7.420678953535342,0.1691309016702656,0.1429095029154331
7,6,0,7.607669503811195,0.1950847147586168,0.134793528389833
7,6,0,7.794660054087048,0.2195796400032005,0.127295261038698
7,6,0,7.981650604362901,0.2427254916645702,0.120354829344084
7,6,0,8.168641154638754,0.2646215364948042,0.1139193881742622
7,6,0,8.355631704914607,0.2853577166584212,0.1079421555441552
7,6,0,8.54262225519046,0.3050158223720121,0.102381599692368
7,6,0,8.729612805466314,0.3236701807429245,0.0972007502816384
7,6,0,8.916603355742167,0.3413886698433746,0.0923666125511607
7,6,0,9.10359390601802,0.3582333121710186,0.0878496672239978
7,6,0,9.290584456293873,0.3742608783106065,0.0836234421357708
7,6,0,9.477575006569726,0.3895235305518766,0.0796641440806651
7,6,0,9.66456555684558,0.4040690798950077,0.0759503414041409
7,6,0,9.851556107121432,0.4179416157044695,0.0724626895136552
7,6,0,10.038546657397283,0.4311817578446802,0.0691836928105116
7,6,0,10.225537207673138,0.4438270108485665,0.0660974976307947
7,6,0,10.412527757948991,0.4559120718283396,0.0631897116707756
7,6,0,10.599518308224845,0.4674690819591114,0.0604472461008418
7,6,0,10.786508858500698,0.4785277769023947,0.0578581771726893
7,6,0,10.97349940877655,0.4891158265896932,0.0554116246215354
7,6,0,11.160489959052404,0.4992589383464927,0.0530976445776022
7,6,0,11.347480509328255,0.5089810369541667,0.0509071350449452
7,6,0,11.53447105960411,0.518304417844966,0.0488317522929108
7,6,0,11.721461609879965,0.5272498740076658,0.0468638367463796
7,6,0,11.908452160155816,0.5358368475790187,0.0449963471635018
7,6,0,12.027536681757374,0.5411269886178494,0.0438563927359332
7,6,0,12.642646646886202,0.5664167296415691,0.0385181617555309
7,6,0,13.257756612015031,0.5886750870446816,0.0339728218058438
7,6,0,13.87286657714386,0.6083435023791854,0.0300759305849608
7,6,0,14.487976542272689,0.6257846418579083,0.0267140832015255
7,6,0,15.103086507401516,0.641298846230197,0.0237972884250499
7,6,0,15.718196472530346,0.6551369117172164,0.0212534362548422
7,6,0,16.333306437659175,0.6675096769024873,0.0190242272622373
7,6,0,16.948416402788006,0.6785956081384295,0.0170621393387633
7,6,0,17.563526367916833,0.6885465904988695,0.0153281410265466
7,6,0,18.17863633304566,0.6974927017091118,0.0137899490808031
7,6,0,18.79374629817449,0.705545867944155,0.0124206874919527
7,6,0,19.40885626330332,0.7128028740508481,0.0111978459195732
7,6,0,20.023966228432148,0.7193477940986404,0.0101024637231831
7,6,0,20.639076193560975,0.725253940033272,0.0091184855942177
7,6,0,21.254186158689805,0.7305855638999036,0.0082322488823344
7,6,0,21.869296123818636,0.73539906318209,0.0074320728325813
